timestamp,value,prediction_training,prediction,label,warp_distance,threshold_training,distance_threshold,positive_detection
"Jul 24, 2009",655.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Jul 28, 2009",679.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Jul 29, 2009",673.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Jul 30, 2009",702.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Jul 31, 2009",701.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 03, 2009",712.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 04, 2009",724.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 05, 2009",728.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 06, 2009",722.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 07, 2009",729.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 10, 2009",727.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 11, 2009",718.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 12, 2009",714.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 13, 2009",736.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 14, 2009",749.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 17, 2009",725.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 18, 2009",730.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 19, 2009",733.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 20, 2009",756.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 21, 2009",772.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 24, 2009",784.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 25, 2009",810.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 27, 2009",7.9,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 28, 2009",8.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Aug 31, 2009",8.1,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 01, 2009",7.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 02, 2009",7.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 03, 2009",7.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 04, 2009",7.7,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 08, 2009",7.9,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 09, 2009",7.9,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 10, 2009",8.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 11, 2009",8.1,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 14, 2009",7.9,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 15, 2009",8.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 16, 2009",8.1,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 17, 2009",8.6,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 18, 2009",869.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 21, 2009",854.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 23, 2009",8.7,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 24, 2009",8.4,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 25, 2009",8.4,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 28, 2009",8.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 29, 2009",8.2,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Sep 30, 2009",8.4,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 02, 2009",821.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 05, 2009",817.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 06, 2009",838.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 07, 2009",854.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 08, 2009",864.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 09, 2009",856.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 12, 2009",859.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 13, 2009",882.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 14, 2009",881.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 15, 2009",895.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 16, 2009",904.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 19, 2009",901.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 20, 2009",926.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 21, 2009",899.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 22, 2009",884.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 23, 2009",878.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 26, 2009",872.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 27, 2009",849.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 28, 2009",825.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 29, 2009",822.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Oct 30, 2009",841.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 02, 2009",835.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 03, 2009",848.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 04, 2009",862.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 05, 2009",861.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 06, 2009",872.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 09, 2009",912.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 10, 2009",903.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 11, 2009",895.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 12, 2009",898.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 13, 2009",879.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 16, 2009",877.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 17, 2009",869.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 18, 2009",864.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 19, 2009",853.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 20, 2009",841.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 23, 2009",842.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Nov 24, 2009",835.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
